BPEL,TS,ENDSYSTEM
MaximUpdateRetailerAccount,LDAPUserSearchTrigger,LDAP
MaximUpdateRetailerAccount,UpdateRetailerAccountTS,Maxim
MaximUpdateRetailerAccount,UpdateMAIRetailerAccountTS,MAXIMMAI
MetaDataBP,ValidateUserService,LDAP
MetaDataBP,CRMMetaDataTS,CRM
MetaDataBP,IDBMetadataTS,IDB
MetaDataBP,MaximMetaDataTS,Maxim
ReadCodingInfo,ValidateUserService,LDAP
ReadCodingInfo,ReadCodingInfoTS,Maxim
ReadEntitlement,LDAPUserSearchTrigger,LDAP
ReadEntitlement,ReadEntitlementTS,IDB
ReadRetailerAccountService,LDAPUserSearchTrigger,LDAP
ReadRetailerAccountService,CRMTS,CRM
ReadSalesLeadService,LDAPUserSearchTrigger,LDAP
ReadSalesLeadService,CRMContactTS,CRM
ReadSessionFeedback,ValidateUserService,LDAP
ReadSessionFeedback,SessionFeedBackTS,IDB
RetrieveAccountList,ValidateUserService,LDAP
RetrieveAccountList,CRMTS,CRM
RetrieveCarConfigurationListService,LDAPUserSearchTrigger,LDAP
RetrieveCarConfigurationListService,CRMCarConfigurationTS,CRM
RetrieveCarOrderListService,LDAPUserSearchTrigger,LDAP
RetrieveCarOrderListService,RetrieveCarOrderListService,Maxim
RetrievePublishedDocumentList,RetrievePublishedDocumentListTS,IDB
RetrieveSessionFeedbackList,ValidateUserService,LDAP
RetrieveSessionFeedbackList,SessionFeedBackTS,IDB
RetrieveVehicleList,LDAPUserSearchTrigger,LDAP
RetrieveVehicleList,RetrieveVehicleListTS,Maxim
UnidialLogin,IntegrationDBTS,IDB
Updatevehicle,ValidateUserService,LDAP
Updatevehicle,SMSVehicleRegistrationTS,CRM
Updatevehicle,SMSVehicleTS,CRM
ChangeVehicleOwnership,ValidateUserService,LDAP
ChangeVehicleOwnership,SMSVehicleTS,CRM
CRMContactStateChangeTSService,CRMTS,CRM
CRMContactStateChangeTSService,CrmDiscoveryServiceSoap,CRM
CRMContactStateChangeTSService,CrmServicesSoap,CRM
CRMLeadTSService,CRMTS,CRM
CRMLeadTSService,CrmDiscoveryServiceSoap,CRM
CRMLeadTSService,CrmServicesSoap,CRM
CRMPulseCheckerService,CRMTS,CRM
CRMPulseCheckerService,CrmDiscoveryServiceSoap,CRM
PulseCheckerService,LDAPPulseCheckerTS,LDAP
PulseCheckerService,CRMPulseCheckerTS,CRM
RecalculateLabourCostsService,ValidateUserService,LDAP
RecalculateLabourCostsService,CalculateCostsTS,Maxim
RetrieveVehiclePartsList,ValidateUserService,LDAP
RetrieveVehiclePartsList, RetrieveVehiclePartsList TS,Maxim
CreateCodingInfo,ValidateUserService,LDAP
CreateCodingInfo,CreateCodingInfoTS,Maxim
